Question,Joke,Answer
1,What do you call a bear with no teeth?,A gummy bear.
2,How do you make a tissue dance?,You put a little boogie in it.
3,Why don't skeletons fight each other?,They don't have the guts.
4,How does a penguin build its house?,Igloos it.
5,What did one wall say to the other wall?,I'll meet you at the corner.
6,Why don't eggs tell jokes?,Because they might crack up.
7,What do you call a snowman with a six-pack?,An abdominal snowman.
8,What do you call a deer with no eyes?,No eye-deer.
9,What do you call a snowman with a sunburn?,A puddle.
10,What did the grape say when it got stepped on?,Nothing... it just let out a little wine.
11,What did the fish say when it hit a wall?,Dam!
12,Did you hear about the mathematician who's afraid of negative numbers?,He'll stop at nothing to avoid them.
13,I'm on a seafood diet.,I see food and I eat it.
14,I'm friends with 25 letters of the alphabet.,I don't know why. I just don't know Y.
15,I used to play piano by ear...,but now I use my hands.
16,I used to be a baker...,but I couldn't make enough dough.
17,What's brown and sticky?,A stick.
18,Why did the golfer bring two pairs of pants?,In case he got a hole in one.
19,What do you call a bee that can't make up its mind?,A maybee.
20,How do you organize a space party?,You planet.
21,What did one hat say to the other hat?,You stay here... I'll go on ahead.
22,What did one snowman say to the other snowman?,Do you smell carrots?
23,What's the best time to go to the dentist?,Tooth-hurty.
24,What do you get when you cross a snowman and a vampire?,Frostbite.
26,Why don't oysters donate to charity?,Because they are shellfish.
27,How does a vampire start a letter?,Tomb it may concern.
28,What do you call a bear with no ears?,B.
29,I'm reading a book about anti-gravity.,It's impossible to put down.
30,What kind of tree fits in your hand?,A palm tree.
31,Did you hear about the restaurant on the moon?,Great food but no atmosphere.
32,How does a penguin make pancakes?,With its flippers.
33,What do you call a can opener that doesn't work?,A can't opener.
34,What did the ocean say to the shore?,Nothing... it just waved.
35,What do you call a pile of cats?,A meowtain.
36,Why couldn't the leopard play hide-and-seek?,Because it was always spotted.
37,Why don't ants get sick?,Because they have little anty bodies.
38,How did the hipster burn his tongue?,He sipped his coffee before it was cool.
39,Why couldn't the bicycle stand up by itself?,It was two-tired.
40,What did one wall say to the other wall?,I'll meet you at the corner.
41,How does a penguin go to the mall?,By waddling.
42,What do you call a donkey with three legs?,A wonkey.
